raw,standard
下水道堵了,排水堵塞
下水道堵塞,排水堵塞
下水道返水,排水堵塞
下水管堵了,排水堵塞
排水不畅,排水堵塞
污水返上来,排水堵塞
工地半夜施工,夜间施工噪音
工地夜间施工,夜间施工噪音
半夜施工扰民,夜间施工噪音
凌晨还在施工,夜间施工噪音
烧烤店吵,餐饮噪音扰民
烧烤档吵,餐饮噪音扰民
饭店噪音,餐饮噪音扰民
大排档吵,餐饮噪音扰民
夜宵档吵,餐饮噪音扰民
垃圾没人收,环境卫生
垃圾堆积,环境卫生
垃圾成堆,环境卫生
占道摆摊,占道经营
路边摆摊,占道经营
乱搭乱建,违建
私自搭建,违建
油烟呛人,油烟污染
排烟呛人,油烟污染
乱停车,停车纠纷
车位被占,停车纠纷
路灯坏了,设施损坏
井盖破损,设施损坏
物业不作为,物业管理
物业不管事,物业管理
吵得无法休息,噪音扰民
吵得睡不着,噪音扰民
吵得厉害,噪音扰民
深夜大声说话,噪音扰民
大声喧哗,噪音扰民
大声说话,噪音扰民
音乐声太大,噪音扰民
喧哗,噪音扰民
吵闹,噪音扰民
拖欠工资问题,拖欠工资
拖欠薪资,拖欠工资
欠薪,拖欠工资
劳动纠纷问题,劳动纠纷
消费纠纷问题,消费纠纷
网购纠纷问题,网购纠纷
